batter,total_matches,total_runs,total_balls,total_dismissals,highest_score,debut_year,final_year,overall_strike_rate,batting_average,fifties,hundreds,teams_represented,last_known_team,predominant_batting_position
S Badrinath,65,1441,1212,46,71,2008,2013,118.89,31.33,11,0,Chennai Super Kings,Chennai Super Kings,No. 4
EJG Morgan,74,1406,1148,59,68,2010,2021,122.47,23.83,5,0,"Kolkata Knight Riders, Punjab Kings, Royal Challengers Bangalore, Sunrisers Hyderabad",Kolkata Knight Riders,Finisher
BJ Hodge,63,1400,1118,41,73,2008,2014,125.22,34.15,6,0,"Kochi Tuskers Kerala, Kolkata Knight Riders, Rajasthan Royals",Rajasthan Royals,Finisher
RK Singh,62,1398,956,41,87,2018,2026,146.23,34.1,6,0,Kolkata Knight Riders,Kolkata Knight Riders,Finisher
SC Ganguly,56,1349,1263,52,91,2008,2012,106.81,25.94,7,0,"Kolkata Knight Riders, Pune Warriors",Pune Warriors,Opener
CA Lynn,42,1329,945,38,93,2012,2021,140.63,34.97,10,0,"Kolkata Knight Riders, Mumbai Indians, Sunrisers Hyderabad",Mumbai Indians,Opener
DJ Hussey,61,1322,1075,46,71,2008,2014,122.98,28.74,5,0,"Chennai Super Kings, Kolkata Knight Riders, Punjab Kings",Chennai Super Kings,No. 4
R Tewatia,91,1302,943,53,68,2014,2026,138.07,24.57,2,0,"Delhi Capitals, Gujarat Titans, Punjab Kings, Rajasthan Royals",Gujarat Titans,Finisher
PD Salt,40,1258,721,37,89,2023,2026,174.48,34.0,12,0,"Delhi Capitals, Kolkata Knight Riders, Royal Challengers Bengaluru",Royal Challengers Bengaluru,Opener
V Shankar,63,1233,950,46,69,2017,2025,129.79,26.8,7,0,"Chennai Super Kings, Delhi Capitals, Gujarat Titans, Sunrisers Hyderabad",Chennai Super Kings,Finisher
KM Jadhav,81,1208,981,51,69,2010,2023,123.14,23.69,4,0,"Chennai Super Kings, Delhi Capitals, Kochi Tuskers Kerala, Royal Challengers Bangalore, Sunrisers Hyderabad",Royal Challengers Bangalore,Finisher
Dhruv Jurel,51,1195,775,36,81,2023,2026,154.19,33.19,10,0,Rajasthan Royals,Rajasthan Royals,Finisher
A Badoni,56,1178,836,45,74,2022,2026,140.91,26.18,7,0,Lucknow Super Giants,Lucknow Super Giants,Finisher
MM Ali,59,1167,835,51,93,2018,2025,139.76,22.88,6,0,"Chennai Super Kings, Kolkata Knight Riders, Royal Challengers Bangalore",Kolkata Knight Riders,Finisher
TM Dilshan,50,1153,1007,40,76,2008,2013,114.5,28.82,9,0,"Delhi Capitals, Royal Challengers Bangalore",Royal Challengers Bangalore,Opener
TH David,59,1151,650,34,70,2021,2026,177.08,33.85,2,0,"Mumbai Indians, Royal Challengers Bangalore, Royal Challengers Bengaluru",Royal Challengers Bengaluru,Finisher
IK Pathan,82,1150,950,49,60,2008,2017,121.05,23.47,1,0,"Delhi Capitals, Gujarat Lions, Punjab Kings, Rising Pune Supergiant, Sunrisers Hyderabad",Gujarat Lions,Finisher
JM Sharma,59,1107,726,48,85,2022,2026,152.48,23.06,1,0,"Punjab Kings, Royal Challengers Bengaluru",Royal Challengers Bengaluru,Finisher
ML Hayden,32,1107,806,27,93,2008,2010,137.34,41.0,8,0,Chennai Super Kings,Chennai Super Kings,Opener
M Vohra,51,1083,829,47,95,2013,2023,130.64,23.04,3,0,"Lucknow Super Giants, Punjab Kings, Rajasthan Royals, Royal Challengers Bangalore",Lucknow Super Giants,Opener
DP Conway,28,1080,773,24,92,2022,2025,139.72,45.0,11,0,Chennai Super Kings,Chennai Super Kings,Opener
LMP Simmons,29,1079,852,26,100,2014,2017,126.64,41.5,11,1,Mumbai Indians,Mumbai Indians,Opener
LS Livingstone,49,1066,687,41,94,2019,2026,155.17,26.0,7,0,"Punjab Kings, Rajasthan Royals, Royal Challengers Bengaluru, Sunrisers Hyderabad",Sunrisers Hyderabad,No. 4
C Green,42,1029,681,26,100,2023,2026,151.1,39.58,4,1,"Kolkata Knight Riders, Mumbai Indians, Royal Challengers Bengaluru",Kolkata Knight Riders,No. 3
V Suryavanshi,23,1028,449,23,103,2025,2026,228.95,44.7,6,2,Rajasthan Royals,Rajasthan Royals,Opener
LRPL Taylor,54,1017,822,38,81,2008,2014,123.72,26.76,3,0,"Delhi Capitals, Pune Warriors, Rajasthan Royals, Royal Challengers Bangalore",Delhi Capitals,Finisher
KP Pietersen,36,1001,743,27,103,2009,2016,134.72,37.07,4,1,"Delhi Capitals, Rising Pune Supergiant, Royal Challengers Bangalore",Rising Pune Supergiant,No. 3
MC Henriques,54,1000,788,36,74,2009,2021,126.9,27.78,5,0,"Delhi Capitals, Kolkata Knight Riders, Punjab Kings, Royal Challengers Bangalore, Sunrisers Hyderabad",Punjab Kings,Finisher
SM Curran,53,997,731,40,88,2019,2025,136.39,24.92,6,0,"Chennai Super Kings, Punjab Kings",Chennai Super Kings,Finisher
T Stubbs,43,986,649,21,71,2022,2026,151.93,46.95,5,0,"Delhi Capitals, Mumbai Indians",Delhi Capitals,Finisher
Y Venugopal Rao,52,985,836,42,71,2008,2014,117.82,23.45,3,0,"Delhi Capitals, Sunrisers Hyderabad",Sunrisers Hyderabad,Finisher
JA Morkel,67,975,687,38,73,2008,2016,141.92,25.66,3,0,"Chennai Super Kings, Delhi Capitals, Rising Pune Supergiant, Royal Challengers Bangalore",Rising Pune Supergiant,Finisher
A Symonds,36,974,750,24,117,2008,2011,129.87,40.58,5,1,"Mumbai Indians, Sunrisers Hyderabad",Mumbai Indians,No. 4
CL White,45,971,760,34,78,2008,2013,127.76,28.56,6,0,"Royal Challengers Bangalore, Sunrisers Hyderabad",Sunrisers Hyderabad,No. 4
BA Stokes,43,935,698,38,107,2017,2023,133.95,24.61,2,2,"Chennai Super Kings, Rajasthan Royals, Rising Pune Supergiant",Chennai Super Kings,Finisher
Priyansh Arya,31,909,471,31,103,2025,2026,192.99,29.32,6,1,Punjab Kings,Punjab Kings,Opener
Shashank Singh,42,905,560,24,68,2022,2026,161.61,37.71,6,0,"Punjab Kings, Sunrisers Hyderabad",Punjab Kings,Finisher
Washington Sundar,59,888,656,41,55,2017,2026,135.37,21.66,3,0,"Gujarat Titans, Rising Pune Supergiant, Royal Challengers Bangalore, Sunrisers Hyderabad",Gujarat Titans,Finisher
HH Gibbs,36,886,807,31,69,2008,2012,109.79,28.58,6,0,"Mumbai Indians, Sunrisers Hyderabad",Mumbai Indians,Opener
A Raghuvanshi,30,885,608,24,82,2024,2026,145.56,36.88,7,0,Kolkata Knight Riders,Kolkata Knight Riders,No. 3
STR Binny,66,880,683,43,48,2010,2019,128.84,20.47,0,0,"Mumbai Indians, Rajasthan Royals, Royal Challengers Bangalore",Rajasthan Royals,Finisher
Abdul Samad,58,859,578,43,45,2020,2026,148.62,19.98,0,0,"Lucknow Super Giants, Sunrisers Hyderabad",Lucknow Super Giants,Lower Order
RD Rickelton,26,836,497,24,123,2025,2026,168.21,34.83,5,1,Mumbai Indians,Mumbai Indians,Opener
Harbhajan Singh,88,833,604,51,64,2008,2021,137.91,16.33,1,0,"Chennai Super Kings, Kolkata Knight Riders, Mumbai Indians",Kolkata Knight Riders,Lower Order
R Ashwin,93,833,705,61,50,2009,2025,118.16,13.66,1,0,"Chennai Super Kings, Delhi Capitals, Punjab Kings, Rajasthan Royals, Rising Pune Supergiant",Chennai Super Kings,Lower Order
MS Bisla,39,798,702,36,92,2010,2015,113.68,22.17,4,0,"Kolkata Knight Riders, Punjab Kings, Royal Challengers Bangalore",Royal Challengers Bangalore,Opener
Shakib Al Hasan,52,795,639,39,66,2011,2021,124.41,20.38,2,0,"Kolkata Knight Riders, Sunrisers Hyderabad",Kolkata Knight Riders,Finisher
Nithish Kumar Reddy,35,787,541,27,76,2024,2026,145.47,29.15,3,0,Sunrisers Hyderabad,Sunrisers Hyderabad,Finisher
N Wadhera,37,784,560,32,70,2023,2026,140.0,24.5,4,0,"Mumbai Indians, Punjab Kings",Punjab Kings,Finisher
M Shahrukh Khan,53,775,524,34,58,2021,2026,147.9,22.79,2,0,"Gujarat Titans, Punjab Kings",Gujarat Titans,Finisher
Abishek Porel,33,769,529,30,65,2023,2026,145.37,25.63,4,0,Delhi Capitals,Delhi Capitals,Opener
ST Jayasuriya,30,768,532,28,114,2008,2010,144.36,27.43,4,1,Mumbai Indians,Mumbai Indians,Opener
SN Khan,43,746,543,33,67,2015,2026,137.38,22.61,2,0,"Chennai Super Kings, Delhi Capitals, Punjab Kings, Royal Challengers Bangalore",Chennai Super Kings,Finisher
GC Smith,29,739,668,26,91,2008,2011,110.63,28.42,4,0,"Pune Warriors, Rajasthan Royals",Pune Warriors,Opener
AD Mathews,41,724,575,28,65,2009,2017,125.91,25.86,1,0,"Delhi Capitals, Kolkata Knight Riders, Pune Warriors",Delhi Capitals,Finisher
Naman Dhir,33,710,433,26,62,2024,2026,163.97,27.31,3,0,Mumbai Indians,Mumbai Indians,Lower Order
TL Suman,39,676,575,30,78,2009,2013,117.57,22.53,2,0,"Mumbai Indians, Pune Warriors, Sunrisers Hyderabad",Pune Warriors,No. 3
AM Nayar,50,672,577,36,45,2008,2014,116.46,18.67,0,0,"Mumbai Indians, Pune Warriors, Punjab Kings, Rajasthan Royals",Rajasthan Royals,Finisher
GJ Bailey,36,663,544,26,61,2009,2016,121.88,25.5,2,0,"Chennai Super Kings, Punjab Kings, Rising Pune Supergiant",Rising Pune Supergiant,Finisher
E Lewis,26,654,477,24,65,2018,2022,137.11,27.25,4,0,"Lucknow Super Giants, Mumbai Indians, Rajasthan Royals",Lucknow Super Giants,Opener
PJ Cummins,51,642,421,32,66,2015,2026,152.49,20.06,3,0,"Delhi Capitals, Kolkata Knight Riders, Sunrisers Hyderabad",Sunrisers Hyderabad,Lower Order
Rashid Khan,72,635,406,46,79,2017,2026,156.4,13.8,1,0,"Gujarat Titans, Sunrisers Hyderabad",Gujarat Titans,Lower Order
PP Chawla,86,624,563,53,24,2008,2024,110.83,11.77,0,0,"Kolkata Knight Riders, Mumbai Indians, Punjab Kings",Mumbai Indians,Lower Order
CH Morris,49,618,398,28,82,2013,2021,155.28,22.07,2,0,"Chennai Super Kings, Delhi Capitals, Rajasthan Royals, Royal Challengers Bangalore",Rajasthan Royals,Lower Order
JJ Roy,21,614,443,19,91,2017,2023,138.6,32.32,4,0,"Delhi Capitals, Gujarat Lions, Kolkata Knight Riders, Sunrisers Hyderabad",Kolkata Knight Riders,Opener
D Brevis,24,606,415,24,57,2022,2026,146.02,25.25,2,0,"Chennai Super Kings, Mumbai Indians",Chennai Super Kings,Finisher
JD Ryder,29,604,458,27,86,2009,2012,131.88,22.37,4,0,"Pune Warriors, Royal Challengers Bangalore",Pune Warriors,Opener
Shahbaz Ahmed,40,603,489,28,59,2020,2026,123.31,21.54,1,0,"Lucknow Super Giants, Royal Challengers Bangalore, Sunrisers Hyderabad",Lucknow Super Giants,Finisher
WG Jacks,26,602,379,21,100,2024,2026,158.84,28.67,2,1,"Mumbai Indians, Royal Challengers Bengaluru",Mumbai Indians,No. 3
HM Amla,16,577,407,13,104,2016,2017,141.77,44.38,3,2,Punjab Kings,Punjab Kings,Opener
Ashutosh Sharma,26,564,334,19,66,2024,2026,168.86,29.68,2,0,"Delhi Capitals, Punjab Kings",Delhi Capitals,Lower Order
R Powell,30,555,390,24,67,2022,2026,142.31,23.12,1,0,"Delhi Capitals, Kolkata Knight Riders, Rajasthan Royals",Kolkata Knight Riders,Finisher
JP Inglis,16,544,314,14,85,2025,2026,173.25,38.86,4,0,"Lucknow Super Giants, Punjab Kings",Lucknow Super Giants,No. 3
CJ Anderson,29,538,423,22,95,2014,2018,127.19,24.45,3,0,"Delhi Capitals, Mumbai Indians, Royal Challengers Bangalore",Royal Challengers Bangalore,Finisher
RS Bopara,22,531,453,17,84,2009,2015,117.22,31.24,3,0,"Punjab Kings, Sunrisers Hyderabad",Sunrisers Hyderabad,Opener
MK Lomror,35,527,373,29,54,2018,2024,141.29,18.17,1,0,"Rajasthan Royals, Royal Challengers Bangalore, Royal Challengers Bengaluru",Royal Challengers Bengaluru,Finisher
JP Faulkner,45,527,390,25,46,2012,2017,135.13,21.08,0,0,"Gujarat Lions, Punjab Kings, Rajasthan Royals",Gujarat Lions,Lower Order
SE Rutherford,27,520,364,21,71,2019,2026,142.86,24.76,1,0,"Delhi Capitals, Gujarat Titans, Mumbai Indians, Royal Challengers Bangalore",Mumbai Indians,Finisher
M Manhas,38,514,470,23,42,2009,2014,109.36,22.35,0,0,"Chennai Super Kings, Delhi Capitals, Pune Warriors",Chennai Super Kings,Finisher
Gurkeerat Singh,32,511,422,24,65,2012,2020,121.09,21.29,2,0,"Punjab Kings, Royal Challengers Bangalore",Royal Challengers Bangalore,Finisher
OA Shah,22,506,389,12,76,2010,2013,130.08,42.17,4,0,"Kochi Tuskers Kerala, Kolkata Knight Riders, Rajasthan Royals",Rajasthan Royals,Finisher
PC Valthaty,23,505,418,22,120,2009,2013,120.81,22.95,2,1,"Punjab Kings, Rajasthan Royals",Punjab Kings,Opener
