batter,p1_10_runs,p1_10_balls,p1_10_dismissals,p1_10_sr,p1_10_dot_pct,p10_40_runs,p10_40_balls,p10_40_dismissals,p10_40_sr,p10_40_dot_pct,p40plus_runs,p40plus_balls,p40plus_dismissals,p40plus_sr,p40plus_dot_pct,pp_runs,pp_balls,pp_dismissals,pp_sr,pp_dot_pct,mid_runs,mid_balls,mid_dismissals,mid_sr,mid_dot_pct,death_runs,death_balls,death_dismissals,death_sr,death_dot_pct
MA Agarwal,1243,1029,50,112.50888,51.33432,1386,966,59,127.8170833,42.74458333,135,71,8,137.9644444,35.77111111,1418,1158,56,107.6233663,54.02970297,1094,786,49,118.0167692,38.05276923,252,122,12,159.65,33.94
SPD Smith,1009,827,23,119.5588172,40.63741935,1332,1033,44,121.8765672,33.74731343,154,85,3,172.6557143,24.94285714,510,416,12,112.1933962,46.99018868,1279,1095,33,116.1485915,31.73056338,706,434,25,144.05,33.72409091
BA Stokes,415,352,16,110.6634884,45.54046512,428,303,22,110.308,45.2956,92,43,0,214.35,11.85,240,181,8,112.043125,49.78,488,389,17,107.6013333,38.50733333,207,128,13,146.26,41.50333333
MS Dhoni,2377,2019,55,115.763029,43.64248963,2978,1908,83,156.0627848,33.85303797,84,30,1,271.31,33.57,59,72,2,88.64529412,67.02352941,1912,1903,39,94.57869048,42.82113095,3468,1982,98,158.23,37.11370558
JJ Roy,253,194,4,126.677619,53.56619048,341,234,14,115.2375,48.93375,20,15,1,76.925,69.23,380,290,12,118.9847368,56.64789474,193,130,7,141.81,30.5025,41,23,0,184.38,25.895
BB McCullum,1029,878,43,110.2951376,61.45614679,1529,1134,49,133.3016923,45.21923077,324,178,10,145.6826667,35.098,1557,1224,57,115.0010577,60.19807692,1144,869,39,124.975098,39.09784314,181,97,6,129.87,37.69909091
SK Raina,2065,1736,62,110.55725,49.4266,3154,2142,92,142.4186029,35.39235294,317,168,8,165.6436364,21.86545455,1560,1171,45,118.8114925,53.41395522,3077,2348,92,122.4172185,35.51066225,899,527,25,151.58,30.10740741
AJ Finch,867,733,33,109.4463333,56.133,1111,819,43,113.5592593,51.72925926,114,83,6,134.4177778,32.59222222,911,797,38,99.87267606,60.75366197,899,659,30,129.2085106,44.6912766,282,179,14,154.76,38.92952381
KD Karthik,2184,1835,76,111.0963948,43.97064378,2597,1714,95,137.6136296,38.91496296,62,31,4,175.555,35.695,397,405,9,88.87253968,56.86873016,2542,2077,88,105.7229714,41.81405714,1904,1098,78,152.65,36.88407692
G Gambhir,1496,1314,42,105.544702,53.51708609,2353,1824,68,115.2999057,40.15632075,368,266,18,125.3457576,32.01212121,2277,1868,63,110.417483,51.23353741,1670,1350,49,109.1715,37.084875,270,186,16,136.75,34.418
CA Lynn,470,371,11,121.9642857,57.82428571,783,525,21,140.5233333,41.531,76,49,6,119.41375,44.1825,779,540,16,129.74925,55.6055,514,371,17,119.0633333,42.41333333,36,34,5,75.00,55.71428571
MK Tiwary,670,647,24,104.8780723,46.79457831,936,747,29,124.4589583,36.22666667,89,55,4,142.99,50.31444444,224,230,10,78.92066667,62.985,874,807,20,97.0362963,44.55185185,597,412,27,144.91,32.19673469
DT Christian,302,277,15,100.1112195,42.92121951,158,121,12,120.7664706,44.28529412,,,,,,3,8,1,37.5,62.5,148,167,7,78.28647059,45.45117647,309,223,19,127.69,37.75064516
HM Amla,153,130,5,101.458125,56.875,298,221,6,129.5936364,36.12636364,126,56,2,223.3333333,26.66666667,261,199,6,107.348125,55.354375,194,156,5,109.118,30.718,122,52,2,234.58,25.83333333
M Vohra,497,432,17,105.3005882,59.46784314,529,375,28,113.5921875,52.60375,57,22,2,264.165,21.665,691,540,25,114.5026087,55.0223913,330,261,19,104.7291304,52.87695652,62,28,3,158.93,49.7025
WP Saha,1369,1175,47,111.4216783,48.42426573,1451,1052,68,119.3896429,45.57738095,114,73,3,137.18375,31.07625,1389,1047,55,115.8604301,54.48150538,988,900,39,94.62138462,40.12292308,557,353,24,150.15,28.61531915
AR Patel,1240,993,54,119.1241045,41.79462687,837,566,39,136.2428814,38.94542373,12,3,1,400,33.33,79,72,5,92.52117647,63.76823529,998,834,36,108.4630864,41.58382716,1012,656,53,140.76,34.40662921
GJ Maxwell,1293,971,58,117.2547761,52.97932836,1486,820,49,144.7396923,44.36707692,41,27,7,138.81,51.74571429,433,309,18,119.5002174,50.37369565,1780,1169,65,116.5185714,48.91877551,607,340,31,165.83,42.25434783
DA Miller,1369,1230,36,108.8692308,41.50979021,1874,1108,52,151.9813978,34.44946237,45,20,2,280.91,43.938,102,118,7,88.90695652,62.38173913,1677,1374,35,108.5085849,39.03726415,1509,866,48,154.95,34.4144
P Negi,273,226,14,117.1122857,47.79571429,92,63,8,130.3245455,41.14181818,,,,,,4,6,1,66.665,83.335,104,101,6,110.2407692,43.76307692,257,182,15,118.99,44.79153846
AP Tare,215,184,15,115.6174074,59.69555556,124,89,9,155.7677778,49.25666667,,,,,,226,202,13,93.15,65.61526316,73,45,7,187.9633333,45.83333333,40,26,4,125.56,43.88833333
SW Billings,250,216,13,101.4214815,53.84185185,253,172,13,129.7557143,34.85285714,,,,,,125,97,4,96.84416667,61.525,260,221,13,103.8590909,47.25,118,70,9,149.18,41.05777778
KK Nair,795,649,28,112.0114103,49.04166667,833,606,39,113.1034043,46.00404255,84,49,3,145.1466667,39.70833333,619,484,23,112.26,55.72865385,818,665,32,107.7785417,43.0325,275,155,15,159.99,33.3485
SV Samson,1992,1585,56,117.5563784,48.95562162,2793,1892,91,134.28928,38.11712,396,194,12,165.939,35.1495,1619,1271,50,114.0610791,53.06719424,2710,1954,79,122.7782308,35.63230769,852,446,30,161.59,35.06588235
RR Pant,1431,1171,37,117.1577206,45.95507353,2234,1379,69,153.8754945,38.10846154,214,94,5,215.102,41.91,490,414,10,104.1646875,52.74296875,2294,1690,59,128.4631579,37.35377193,1095,540,42,163.48,46.21460317
CH Morris,415,298,25,110.4140816,46.90469388,202,99,3,188.9181818,27.48636364,1,1,0,100,0,17,7,0,242.86,28.57,102,93,9,62.02705882,64.71470588,499,298,19,134.32,38.79051282
CR Brathwaite,142,90,11,145.7314286,49.09,39,21,2,68.42,80.70333333,,,,,,,,,,,24,32,4,78.33333333,60,157,79,9,184.69,38.746
PJ Cummins,457,310,24,129.3843137,48.59078431,185,111,8,162.4461538,45.99846154,,,,,,0,1,0,0,100,181,141,8,115.1757895,55.21736842,461,279,24,135.05,47.47604651
A Mishra,280,305,21,89.77254545,51.29272727,101,114,7,77.79272727,46.45272727,,,,,,1,5,0,20,80,120,164,5,65.90888889,45.27222222,260,250,23,92.87,50.83306122
Z Khan,94,121,12,76.9,54.02259259,23,20,2,83.33333333,56.81666667,,,,,,0,3,1,0,100,9,29,2,29.802,70.198,108,109,11,86.15,50.72333333
DR Smith,818,722,28,103.7978409,60.50318182,1454,962,43,141.4015789,43.36333333,113,80,9,120.437,50.315,1213,976,26,111.3964615,59.94707692,1004,677,38,136.9972727,43.00581818,168,111,16,123.68,45.8095
DS Kulkarni,81,93,8,100.306,42.5835,23,15,0,133.33,41.665,,,,,,,,,,,5,10,2,50,61.11333333,99,98,6,111.15,38.95833333
P Kumar,295,273,28,91.49350877,51.99017544,45,41,6,75.23857143,78.33428571,,,,,,6,8,2,60,80,40,45,3,60.3125,70.9375,294,261,29,100.01,48.61568627
RV Uthappa,1888,1692,64,107.2455838,52.81482234,2799,1957,100,138.1680303,40.65757576,267,152,11,172.5111111,30.44833333,2037,1638,60,115.5003356,52.71765101,2350,1837,91,113.134,42.16046154,567,326,24,150.84,45.71717949
MK Pandey,1443,1371,46,98.07993827,50.91166667,2290,1769,80,119.725045,38.66801802,288,157,9,185.6694737,24.68052632,1162,1012,32,99.88754545,57.11890909,2146,1814,69,104.6693333,39.36791667,713,471,34,134.25,33.93339286
YK Pathan,1544,1230,50,118.1021569,46.18163399,1667,1010,54,144.5174157,39.06089888,11,5,1,175,75,361,245,12,127.9348485,54.91181818,1735,1299,52,115.4755046,44.55055046,1126,701,41,145.82,37.54195122
SA Yadav,1863,1355,49,131.9556707,43.7627439,2565,1643,77,147.0446602,36.27378641,153,86,7,170.6923077,43.15153846,1017,722,22,125.9683951,55.39506173,2730,1894,68,130.1401575,36.87787402,834,468,43,158.36,40.72268657
SP Narine,1090,730,66,124.0534426,61.19770492,692,355,31,172.5227273,49.60030303,38,16,1,237.5,50,1174,690,48,145.778169,60.90084507,486,279,31,123.7936842,61.63105263,160,132,19,89.42,59.20641026
Harbhajan Singh,595,453,41,117.5629545,48.35954545,238,151,10,156.44,41.02294118,,,,,,62,51,3,119.8583333,53.57833333,147,141,9,91.4,58.45833333,624,412,39,123.69,47.43266667
AB de Villiers,1749,1445,51,116.0891176,44.64017647,3155,1844,66,158.6996491,32.82508772,277,122,5,211.6127778,24.33222222,741,614,22,107.1712346,54.10580247,2572,1959,60,113.6414074,35.51859259,1868,838,40,207.39,30.16283951
CJ Anderson,228,232,13,91.99896552,63.33344828,297,186,9,130.7085714,49.62642857,13,5,0,387.5,0,52,61,4,65.22888889,80.60555556,311,257,8,100.4647619,51.14761905,175,105,10,112.10,57.671875
F du Plessis,1567,1318,35,112.0065306,50.4970068,2753,1956,73,129.864,36.89436364,453,241,20,170.1782143,41.25464286,2281,1673,52,124.2312977,50.05984733,1924,1526,48,117.9830337,32.6711236,568,316,28,145.00,36.256
RA Tripathi,1060,801,34,125.9739796,46.31704082,1134,799,46,138.9871667,37.4965,97,62,5,133.0555556,42.94555556,1013,726,36,120.7224,51.0076,1059,785,32,122.674,33.64854545,219,151,17,121.54,44.1864
R Bhatia,288,242,24,124.69,39.30446809,54,42,5,107.51,44.57333333,,,,,,,,,,,91,112,6,75.07928571,44.43142857,251,172,23,135.58,38.07463415
DL Chahar,101,88,9,91.643,51.875,41,15,1,270,20,,,,,,,,,,,61,39,4,118.9583333,51.45833333,81,64,6,95.97,49.722
NV Ojha,775,732,32,102.6489362,56.5543617,703,540,38,108.6327083,51.7925,76,41,2,185.6825,37.095,494,482,22,94.13418605,67.25023256,649,537,24,100.7123913,46.35173913,411,294,26,133.85,45.30954545
V Shankar,585,521,24,110.2930159,40.23555556,603,400,22,138.428,36.45542857,45,29,0,175.1066667,25.21666667,127,130,5,88.19,59.48666667,591,510,21,105.6576744,37.13046512,515,310,20,143.59,33.37432432
Rashid Khan,495,328,40,118.0401389,59.35902778,140,78,6,191.5581818,43.62636364,,,,,,,,,,,101,84,5,117.7866667,46.99916667,534,322,41,124.46,58.99373134
B Kumar,301,330,30,87.22466667,50.4156,53,47,5,101.6922222,56.46222222,,,,,,,,,,,38,51,1,70.18666667,49.58444444,316,326,34,89.99,50.03364865
MP Stoinis,1040,817,39,118.6618519,47.17981481,1104,655,34,183.1326316,31.9722807,98,48,4,195.815,28.84166667,318,250,10,104.2428125,57.615625,944,728,32,113.674507,40.75887324,980,542,35,156.77,40.01265625
