batter,p1_10_runs,p1_10_balls,p1_10_dismissals,p1_10_sr,p1_10_dot_pct,p10_40_runs,p10_40_balls,p10_40_dismissals,p10_40_sr,p10_40_dot_pct,p40plus_runs,p40plus_balls,p40plus_dismissals,p40plus_sr,p40plus_dot_pct,pp_runs,pp_balls,pp_dismissals,pp_sr,pp_dot_pct,mid_runs,mid_balls,mid_dismissals,mid_sr,mid_dot_pct,death_runs,death_balls,death_dismissals,death_sr,death_dot_pct
R Dravid,730,731,17,96.41134146,55.31243902,1358,1089,50,108.5539683,43.3015873,86,62,8,125.5675,32.71625,905,832,17,97.26265625,57.2128125,1069,931,43,108.065,35.74548387,200,119,15,126.83,44.025
W Jaffer,52,65,4,75.9375,72.8125,78,56,3,114.17,42.24333333,,,,,,77,89,5,79.61625,68.86375,53,32,2,162.94,28.04,,,,,
JH Kallis,818,814,29,91.23947368,62.19242105,1334,1227,39,100.8375,45.61609375,275,181,15,137.8409524,38.91714286,1036,982,33,93.93365854,63.42146341,997,1012,30,87.971,40.70766667,394,228,20,136.86,43.04482759
CL White,365,357,15,95.90822222,51.98755556,548,378,16,126.94,31.83,58,25,3,222.5,21.025,107,116,7,56.9765,74.0625,501,451,17,98.2175,45.8575,363,193,10,180.23,23.4985
MV Boucher,188,183,9,98.37826087,43.87,206,126,5,179.212,26.613,,,,,,22,24,1,67.77666667,56.66666667,137,138,5,89.61375,41.05,235,147,8,135.76,36.279375
ML Hayden,353,295,7,112.1953125,58.2821875,647,454,18,133.5988462,46.77115385,107,57,3,174.1016667,31.28833333,599,462,14,117.7778125,57.0346875,412,294,12,143.16,39.28368421,96,50,2,188.37,33.118
MEK Hussey,488,539,12,88.1712069,58.61931034,1187,920,29,108.0469565,42.80304348,302,153,8,180.3613333,28.56066667,828,767,19,99.81981818,55.97836364,888,709,23,112.5248718,33.60871795,261,136,7,182.24,24.614
JDP Oram,63,73,6,89.82636364,51.51545455,43,35,2,96.74666667,39.61666667,,,,,,,,,,,44,58,3,68.74857143,55.57,62,50,5,122.08,42.9025
S Badrinath,447,496,17,97.49015385,49.77123077,907,662,25,130.6102632,39.28394737,87,54,4,151.208,19.911,182,237,6,63.08965517,70.84827586,837,697,20,108.4411905,41.46571429,422,278,20,139.24,32.79820513
K Goel,94,131,6,64.47875,63.4675,124,100,7,140.16,49.372,,,,,,160,161,8,78.32416667,62.11,28,42,4,71.73714286,48.67,30,28,1,91.11,56.66666667
JR Hopes,180,150,8,118.9473684,47.00526316,228,149,6,126.7577778,41.83333333,9,7,2,125,29.165,167,133,7,108.4385714,57.20142857,187,128,5,148.3955556,36.07666667,63,45,4,141.35,31.58714286
KC Sangakkara,594,579,19,99.18426471,53.08338235,982,746,39,120.7329167,35.55395833,111,67,7,150.2055556,33.84555556,522,450,14,100.858125,57.515,963,812,38,105.9873585,36.48358491,202,130,13,135.95,41.16875
SM Katich,110,97,3,102.7272727,53.63636364,121,77,5,117.6642857,50.93142857,10,12,1,83.33,58.33,145,108,5,116.2633333,56.35444444,76,62,4,103.3316667,34.57166667,20,16,0,125.00,25
M Kaif,169,180,8,91.25,54.31227273,90,70,8,116.4690909,43.73727273,,,,,,22,38,2,43.834,77.952,183,167,8,111.5913333,43.36266667,54,45,6,129.45,37.19
SK Warne,156,159,13,82.02333333,59.56185185,42,55,4,70.295,38.705,,,,,,,,,,,61,82,6,54.522,74.869,137,132,11,91.48,47.98619048
V Sehwag,1155,817,48,131.1383654,55.11692308,1417,859,41,142.6296364,43.10181818,156,79,6,199.3977778,38.40111111,1593,1105,58,131.3912621,54.83126214,1062,615,33,147.8238095,35.9947619,73,35,4,165.74,41.66666667
ST Jayasuriya,316,256,11,109.3453333,78.738,418,263,15,147.43,53.24684211,34,13,2,161.11,38.89,514,366,19,115.376,78.557,254,166,9,139.846,37.826,,,,,
AM Nayar,361,362,19,87.0658,49.742,311,215,17,146.2258333,36.5625,,,,,,65,73,3,63.76727273,75.65818182,297,307,15,89.90846154,41.74,310,197,18,124.07,42.86758621
SM Pollock,76,62,2,95,56.25,71,49,6,165.0716667,41.53666667,,,,,,1,6,0,25,75,66,63,2,73.192,57.908,80,42,6,132.34,57.34
LRPL Taylor,521,452,16,108.5825926,46.8512963,482,360,21,140.079697,40.11545455,14,10,1,140,20,155,121,3,93.27588235,53.55352941,550,502,23,100.1922222,44.42133333,312,199,12,141.37,39.36416667
AC Gilchrist,815,670,28,112.181,60.202125,1133,761,42,139.5678846,48.46730769,121,64,5,162.38,42.2825,1385,1033,47,116.98,58.698875,621,430,27,124.0093548,46.0916129,63,32,1,159.87,36.765
Y Venugopal Rao,430,432,15,96.27903846,49.48442308,545,396,26,123.4306061,43.66393939,10,8,1,116.665,33.335,76,97,3,69.03583333,70.55916667,522,488,16,85.95783784,49.72216216,387,251,23,133.42,39.40645161
VVS Laxman,136,161,10,74,60.8495,144,102,5,130.68125,27.5725,2,4,1,50,50,187,188,9,83.36473684,56.93736842,92,73,6,92.67375,37.1,3,6,1,50.00,50
A Symonds,334,328,5,99.83055556,49.73777778,591,406,19,135.6557143,35.67642857,49,16,0,303.845,7.69,72,82,1,65.04733333,72.74066667,609,484,13,118.9845161,41.89419355,293,184,10,131.23,38.796
SB Styris,66,72,3,100.738,36.297,64,60,4,72.89,62,1,1,0,100,0,8,13,0,72.22333333,27.77666667,83,93,4,93.01285714,39.57571429,40,27,3,152.32,29.62833333
LR Shukla,282,245,21,109.9793939,46.47181818,118,99,6,100.241,37.293,5,6,0,83.33,66.67,2,5,0,41.665,58.335,184,181,13,118.9385,46.163,219,164,14,121.59,44.096
DPMD Jayawardene,786,675,27,112.7932051,50.99717949,864,706,27,106.3733333,45.993125,158,83,4,136.338,24.579,611,501,22,111.6278,55.9028,823,728,27,107.5788235,43.01980392,374,235,10,136.56,32.1808
S Sohal,138,143,8,86.25,66.139,230,148,9,148.6709091,42.89727273,0,1,1,0,100,279,220,10,107.9858824,59.68529412,85,63,5,130.09,38.652,4,9,3,33.33,75
B Lee,124,94,7,111.0021053,46.25368421,0,3,2,0,100,,,,,,,,,,,12,10,1,104.4433333,28.89,112,87,8,107.57,49.17666667
Kamran Akmal,89,54,4,164.84,46.28333333,39,24,0,158.335,38.89,,,,,,51,41,2,123.9575,57.015,51,20,2,181.8166667,44.69666667,26,17,0,152.94,29.41
GC Smith,203,247,8,72.44103448,68.22965517,482,377,13,110.6214286,46.84714286,54,44,5,111.76125,50.5175,374,387,13,80.63068966,64.23931034,299,241,10,103.91125,45.42,66,40,3,165.33,37.11
AB Agarkar,123,118,4,114.1177778,38.89666667,56,36,4,139.7,24.648,,,,,,20,13,1,153.85,69.23,34,47,2,94.14833333,49.03333333,125,94,5,128.62,30.52733333
M Kartik,98,91,3,94.84142857,33.41214286,15,17,3,66.6675,46.665,,,,,,,,,,,35,32,1,108.7633333,40.2,78,76,5,83.57,36.46076923
MF Maharoof,115,98,5,97.61928571,51.13071429,62,25,5,179.7628571,32.14285714,,,,,,,,,,,42,34,3,86.1125,52.7775,135,89,7,117.47,46.89454545
B Chipli,152,168,9,90.89238095,51.10761905,128,83,6,120.6744444,45.17444444,,,,,,55,76,5,75.69875,68.84875,125,119,9,85.68416667,48.08833333,100,56,1,153.06,23.47
DB Das,184,163,4,117.835,48.97363636,120,98,8,119.97,42.059,,,,,,58,53,4,80.61333333,69.325,129,111,2,137.0122222,43.78444444,117,97,6,123.96,40.36
HH Gibbs,316,319,13,91.10222222,71.14638889,500,434,15,113.1773913,43.22695652,70,54,3,116.7133333,23.91166667,447,416,15,93.10057143,67.47685714,367,345,15,95.79190476,47.11428571,72,46,1,143.33,16.024
SA Asnodkar,172,145,9,107.6757895,66.37368421,246,190,8,130.09,42.568,5,4,1,125,50,278,209,9,115.0757895,64.22947368,145,130,9,93.865,50.566,,,,,
Salman Butt,51,61,2,85.71428571,75.20428571,116,82,3,136.446,42.222,26,18,2,101.785,71.43,104,98,4,104.4371429,67.26428571,73,57,2,148.3333333,40.57,16,6,1,266.67,33.33
BJ Hodge,494,528,15,86.07761905,52.42857143,857,555,23,148.8395122,35.63219512,49,35,3,115.8333333,39.16666667,148,162,7,71.84818182,70.19909091,646,583,14,99.888,41.33911111,606,373,20,143.63,35.24162162
SP Fleming,80,79,4,93.556,65.056,116,86,5,149.99,44.32666667,,,,,,120,110,6,101.756,62.072,76,55,3,138.8525,42.655,,,,,
S Vidyut,74,64,4,110.71375,65.8925,71,45,4,124.9475,56.445,,,,,,103,76,5,132.4671429,58.35714286,42,30,2,72.415,68.965,0,3,1,0.00,100
JA Morkel,628,466,26,132.4013433,39.75656716,321,206,12,136.9175,41.5065,26,15,0,173.33,26.67,18,13,0,125.9233333,33.33333333,320,266,10,104.7048276,42.80206897,637,408,28,149.96,36.91
DB Ravi Teja,180,180,10,107.0032,40.44,195,136,8,128.5033333,36.42333333,0,1,1,0,100,53,58,2,80.16,58.7,153,137,3,96.52833333,44.73166667,169,122,14,130.37,37.7695
Misbah-ul-Haq,49,48,6,79.1825,57.455,68,33,1,211.115,26.665,,,,,,27,19,3,82.2925,69.7925,48,42,3,101.094,39.082,42,20,1,116.67,61.11
YV Takawale,74,83,2,85,67.25,118,95,6,119.6333333,51.94833333,,,,,,121,132,5,74.8,72.57875,42,33,3,124.0733333,29.62666667,29,13,0,200.00,26.25
S Anirudha,65,63,6,99.52416667,56.535,55,35,1,208.335,36.665,16,15,1,106.67,33.33,26,28,3,38.295,87.5,34,33,0,77.77666667,71.36666667,76,52,5,136.99,40.49555556
SR Tendulkar,736,700,15,98.62179487,58.2424359,1362,1106,43,111.4629032,46.79370968,236,142,9,149.0411111,33.95222222,1143,982,25,106.7512987,55.40545455,967,829,34,105.3511538,43.77788462,224,137,8,138.44,36.50555556
TM Dilshan,437,409,18,94.8406,62.993,596,515,18,105.2148387,50.57935484,120,83,4,132.5833333,40.73666667,488,440,18,92.24902439,64.63097561,466,451,17,85.39516129,54.0983871,199,116,5,170.05,34.70230769
NK Patel,44,52,0,100,63.33333333,77,67,4,74.09,57.85,,,,,,45,55,1,68.985,74.57,39,42,3,70.2775,50.1375,37,22,0,182.50,37.5
LA Pomersbach,151,124,6,112.39875,47.21,122,112,4,99.63125,40.3275,29,10,0,290,10,104,80,4,127.3125,47.575,131,117,3,110.3966667,41.06,67,49,3,117.00,28.74
JD Ryder,300,233,10,108.0462069,57.38482759,253,191,16,104.5922222,51.805,51,34,1,148.61,26.39,440,326,18,108.0272414,57.14448276,119,104,8,103.448,36.807,45,28,1,156.42,28.34
KP Pietersen,375,318,6,106.1805556,51.875,564,396,20,133.243,37.18466667,62,29,1,134.7233333,47.22333333,392,294,5,117.5425,47.31821429,486,380,20,114.6403333,44.07466667,123,69,2,158.44,26.34428571
RS Bopara,162,190,5,75.79545455,53.29545455,287,226,9,123.7729412,30.23647059,82,37,3,206.5366667,18.51,130,144,5,76.6925,60.9925,222,205,4,88.53066667,41.88,179,104,8,142.03,34.00461538
PC Valthaty,203,196,11,94.88086957,67.38130435,246,182,9,107.6183333,58.92833333,56,40,2,128.4466667,41.53333333,312,278,15,94.06434783,66.61,147,118,6,88.93,58.07375,46,22,1,212.94,28.825
RJ Quiney,39,51,5,98.84857143,67.65857143,64,51,2,122.38,39.05,,,,,,65,71,5,107.0742857,64.02285714,37,28,1,120.76,38.01,1,3,1,33.33,66.67
AS Raut,110,111,5,86.71875,51.5625,84,56,4,161.6775,20.1,,,,,,7,6,0,116.67,50,67,58,3,107.861,36.306,120,103,6,95.80,44.71538462
M Manhas,277,258,14,96.725,50.56289474,237,212,9,115.48,35.68823529,,,,,,46,53,3,54.6875,78.1875,224,232,10,87.41714286,46.32095238,244,185,10,120.39,38.9404
DL Vettori,81,77,5,93.854375,36.25,40,36,2,85.5175,57.9375,,,,,,,,,,,47,54,5,63.765,57.36625,74,59,2,117.68,24.22272727
MN van Wyk,45,42,1,90,68,112,82,1,184.6675,18.1675,10,8,1,125,37.5,28,25,1,82.32333333,87.12,73,64,1,113.4633333,27.87666667,66,43,1,153.19,24.16666667
RE van der Merwe,94,101,6,84.03733333,50,65,40,5,152.324,35.05,,,,,,36,37,2,88.6625,61.415,70,58,4,115.3057143,47.15,53,46,5,94.61,37.90666667
TL Suman,348,325,12,98.49820513,55.40128205,292,229,17,109.9144,45.3016,36,21,1,134.56,33.825,185,181,15,81.71904762,67.28666667,347,286,10,117.9645,37.6145,144,108,5,119.39,40.15285714
RJ Harris,104,97,11,96.28285714,43.33285714,13,15,1,86.67,40,,,,,,,,,,,20,25,1,71.47333333,44.55,97,87,11,104.26,42.7495
M Morkel,126,90,10,117.028,43.6285,,,,,,,,,,,,,,,,10,9,0,107.145,28.57,116,81,10,109.53,48.0035
J Botha,206,199,12,107.9367857,43.13571429,183,153,8,110.2554545,34.05181818,20,7,0,285.71,0,45,52,1,70.48125,65.84375,205,184,7,99.99133333,44.358,159,123,12,126.69,31.45473684
