batter,year,matches,runs,balls,dismissals,fifties,hundreds,strike_rate,average
YBK Jaiswal,2025,14,559,350,13,6,0,159.71,43.0
YBK Jaiswal,2026,16,427,280,14,3,0,152.5,30.5
YK Pathan,2008,15,435,243,12,4,0,179.01,36.25
YK Pathan,2009,13,261,187,12,2,0,139.57,21.75
YK Pathan,2010,14,333,201,10,1,1,165.67,33.3
YK Pathan,2011,11,283,201,9,0,0,140.8,31.44
YK Pathan,2012,16,194,169,10,0,0,114.79,19.4
YK Pathan,2013,16,332,240,11,1,0,138.33,30.18
YK Pathan,2014,12,268,165,9,1,0,162.42,29.78
YK Pathan,2015,12,312,231,7,1,0,135.06,44.57
YK Pathan,2016,13,361,248,5,3,0,145.56,72.2
YK Pathan,2017,11,143,115,8,1,0,124.35,17.88
YK Pathan,2018,13,260,200,9,0,0,130.0,28.89
YK Pathan,2019,7,40,45,3,0,0,88.89,13.33
YV Takawale,2008,4,70,65,2,0,0,107.69,35.0
YV Takawale,2009,1,18,22,1,0,0,81.82,18.0
YV Takawale,2014,5,104,91,5,0,0,114.29,20.8
Yuvraj Singh,2008,14,299,184,12,1,0,162.5,24.92
Yuvraj Singh,2009,14,340,294,12,2,0,115.65,28.33
Yuvraj Singh,2010,14,259,201,12,0,0,128.86,21.58
Yuvraj Singh,2011,13,343,261,9,2,0,131.42,38.11
Yuvraj Singh,2013,13,238,190,12,0,0,125.26,19.83
Yuvraj Singh,2014,14,376,278,10,3,0,135.25,37.6
Yuvraj Singh,2015,13,248,210,13,2,0,118.1,19.08
Yuvraj Singh,2016,10,236,179,9,0,0,131.84,26.22
Yuvraj Singh,2017,11,252,177,9,2,0,142.37,28.0
Yuvraj Singh,2018,6,65,73,5,0,0,89.04,13.0
Yuvraj Singh,2019,4,98,75,4,1,0,130.67,24.5
Z Khan,2008,7,34,43,4,0,0,79.07,8.5
Z Khan,2009,3,8,11,1,0,0,72.73,8.0
Z Khan,2010,3,24,13,1,0,0,184.62,24.0
Z Khan,2011,2,21,24,2,0,0,87.5,10.5
Z Khan,2012,4,12,17,2,0,0,70.59,6.0
Z Khan,2014,3,8,7,1,0,0,114.29,8.0
Z Khan,2016,2,6,13,2,0,0,46.15,3.0
Z Khan,2017,3,4,13,1,0,0,30.77,4.0
